segment_type,segment_name,rows,RMSLE,WAPE,MAE,Signed_Bias_%
PRODUCT_FAMILY,AUTOMOTIVE,6912,0.51812,0.39675,2.863,-14.17
PRODUCT_FAMILY,BABY CARE,6912,0.29132,1.4557,0.288,14.88
PRODUCT_FAMILY,BEAUTY,6912,0.50329,0.40524,2.277,-6.27
PRODUCT_FAMILY,BEVERAGES,6912,0.23962,0.19038,669.997,-13.26
PRODUCT_FAMILY,BOOKS,6912,0.15176,2.25946,0.098,87.69
PRODUCT_FAMILY,BREAD/BAKERY,6912,0.19025,0.13819,76.628,-7.85
PRODUCT_FAMILY,CELEBRATION,6912,0.56578,0.39617,5.364,-14.01
PRODUCT_FAMILY,CLEANING,6912,0.31922,0.21078,271.049,-7.7
PRODUCT_FAMILY,DAIRY,6912,0.18596,0.1414,129.765,-5.93
PRODUCT_FAMILY,DELI,6912,0.19645,0.15007,47.429,-5.26
PRODUCT_FAMILY,EGGS,6912,0.33954,0.22239,44.163,-8.27
PRODUCT_FAMILY,FROZEN FOODS,6912,0.31246,0.21204,29.028,-7.53
PRODUCT_FAMILY,GROCERY I,6912,0.26261,0.19357,905.322,-14.51
PRODUCT_FAMILY,GROCERY II,6912,0.57123,0.33481,9.877,-13.62
PRODUCT_FAMILY,HARDWARE,6912,0.54451,0.73413,1.078,-16.46
PRODUCT_FAMILY,HOME AND KITCHEN I,6912,0.50215,0.37109,11.702,-8.69
PRODUCT_FAMILY,HOME AND KITCHEN II,6912,0.45221,0.3261,10.145,-9.34
PRODUCT_FAMILY,HOME APPLIANCES,6912,0.41615,1.08426,0.595,0.71
PRODUCT_FAMILY,HOME CARE,6912,0.24793,0.17576,53.084,-6.33
PRODUCT_FAMILY,LADIESWEAR,6912,0.50149,0.37077,4.431,-13.9
PRODUCT_FAMILY,LAWN AND GARDEN,6912,0.52859,0.38561,6.24,-14.02
PRODUCT_FAMILY,LINGERIE,6912,0.63687,0.50611,3.726,-17.48
PRODUCT_FAMILY,"LIQUOR,WINE,BEER",6912,0.66763,0.37964,36.175,-15.36
PRODUCT_FAMILY,MAGAZINES,6912,0.52101,0.3936,2.599,-15.18
PRODUCT_FAMILY,MEATS,6912,0.25376,0.19327,72.614,-8.4
PRODUCT_FAMILY,PERSONAL CARE,6912,0.28608,0.2065,65.832,-6.58
PRODUCT_FAMILY,PET SUPPLIES,6912,0.46964,0.33172,2.888,-12.79
PRODUCT_FAMILY,PLAYERS AND ELECTRONICS,6912,0.48117,0.31994,3.653,-12.16
PRODUCT_FAMILY,POULTRY,6912,0.24328,0.18162,71.738,-9.47
PRODUCT_FAMILY,PREPARED FOODS,6912,0.29376,0.18177,16.747,-6.69
PRODUCT_FAMILY,PRODUCE,6912,0.25835,0.1962,467.349,-16.02
PRODUCT_FAMILY,SCHOOL AND OFFICE SUPPLIES,6912,0.62418,0.60826,7.323,-21.71
PRODUCT_FAMILY,SEAFOOD,6912,0.51234,0.25602,5.48,-7.82
