origin_id,horizon_day,RMSLE,MAE,WAPE
1,1,0.43419,104.923,0.21107
1,2,0.46675,171.126,0.30849
1,3,0.4316,142.521,0.26326
1,4,0.39903,59.493,0.14561
1,5,0.42495,88.926,0.19144
1,6,0.38296,85.664,0.15808
1,7,0.41632,118.234,0.20074
1,8,0.41877,68.07,0.15211
1,9,0.41215,55.016,0.13659
1,10,0.39244,58.042,0.14089
1,11,0.40215,57.709,0.15787
1,12,0.44298,94.581,0.20396
1,13,0.42122,95.665,0.21507
1,14,0.41612,74.681,0.15374
1,15,0.40979,53.366,0.12498
1,16,0.39025,60.0,0.14019
2,1,0.37541,81.596,0.15004
2,2,0.40272,139.857,0.2264
2,3,0.38682,70.21,0.15289
2,4,0.37873,47.027,0.11478
2,5,0.39483,65.318,0.15156
2,6,0.39531,49.947,0.12931
2,7,0.41251,74.362,0.16936
2,8,0.38682,77.586,0.1482
2,9,0.4067,119.248,0.20746
2,10,0.40448,87.681,0.19135
2,11,0.38913,52.919,0.13215
2,12,0.40523,61.082,0.14696
2,13,0.41919,57.166,0.15438
2,14,0.40656,97.603,0.20827
2,15,0.40255,109.895,0.1897
2,16,0.43787,146.868,0.2329
3,1,0.40477,53.661,0.15159
3,2,0.38597,67.124,0.1491
3,3,0.41844,188.545,0.27824
3,4,0.43458,238.188,0.32741
3,5,0.39921,123.996,0.23884
3,6,0.39437,81.722,0.17496
3,7,0.36547,80.89,0.17073
3,8,0.39573,51.609,0.13133
3,9,0.39867,72.403,0.16012
3,10,0.36264,84.674,0.15114
3,11,0.38527,123.821,0.20044
3,12,0.40112,69.115,0.15316
3,13,0.39525,55.37,0.13506
3,14,0.40059,57.021,0.1357
3,15,0.42611,55.684,0.15759
3,16,0.40553,67.198,0.15643
4,1,0.38924,58.39,0.14265
4,2,0.39902,74.004,0.16781
4,3,0.39614,47.456,0.12806
4,4,0.42018,94.484,0.20169
4,5,0.43425,121.929,0.19822
4,6,0.40251,91.715,0.16934
4,7,0.41938,62.926,0.14174
4,8,0.41275,70.692,0.16
4,9,0.4012,61.594,0.14326
4,10,0.41457,51.121,0.14937
4,11,0.40555,68.659,0.16076
4,12,0.37267,85.268,0.15774
4,13,0.38299,138.808,0.22639
4,14,0.40083,58.544,0.13811
4,15,0.39619,50.956,0.1331
4,16,0.40791,63.058,0.15353
5,1,0.40825,137.828,0.23132
5,2,0.43168,60.138,0.13796
5,3,0.40444,56.724,0.13614
5,4,0.40329,86.87,0.18041
5,5,0.38857,90.172,0.20954
5,6,0.43029,145.11,0.28155
5,7,0.39464,185.59,0.28119
5,8,0.44246,281.472,0.36439
5,9,0.43746,135.726,0.265
5,10,0.42298,89.56,0.19812
5,11,0.42243,91.697,0.19384
5,12,0.4392,61.735,0.16491
5,13,0.43684,79.619,0.17844
5,14,0.3911,95.19,0.1707
5,15,0.42197,198.498,0.29145
5,16,0.39487,59.57,0.13816
6,1,0.50083,84.917,0.19786
6,2,0.52925,143.669,0.22921
6,3,0.45853,80.212,0.16166
6,4,0.44828,62.619,0.13558
6,5,0.43738,63.96,0.14109
6,6,0.42023,87.442,0.18519
6,7,0.45259,51.369,0.14565
6,8,0.44107,67.543,0.15555
6,9,0.42687,106.018,0.18242
6,10,0.42579,181.451,0.26902
6,11,0.42308,64.756,0.14815
6,12,0.39553,52.69,0.12984
6,13,0.42763,59.629,0.14238
6,14,0.4346,51.969,0.14934
6,15,0.47732,170.01,0.30772
6,16,0.40121,73.763,0.141
7,1,0.40666,80.627,0.18393
7,2,0.41595,55.209,0.15743
7,3,0.42882,79.392,0.17737
7,4,0.41206,117.802,0.19651
7,5,0.43719,125.535,0.21484
7,6,0.61142,348.127,0.47476
7,7,0.44582,119.377,0.23446
7,8,0.43049,114.573,0.2209
7,9,0.42455,57.399,0.14273
7,10,0.43345,74.672,0.17042
7,11,0.38219,101.357,0.17377
7,12,0.40326,187.812,0.27268
7,13,0.42032,64.551,0.14817
7,14,0.42599,54.342,0.13528
7,15,0.44763,76.261,0.17739
7,16,0.43445,60.872,0.16723
8,1,0.43167,166.185,0.30405
8,2,0.41493,77.413,0.17413
8,3,0.41372,77.836,0.17367
8,4,0.42438,54.302,0.14917
8,5,0.45596,85.331,0.19971
8,6,0.53434,158.393,0.2635
8,7,0.42882,80.071,0.17383
8,8,0.43732,83.897,0.19372
8,9,0.43314,62.999,0.162
8,10,0.41658,70.69,0.17314
8,11,0.43689,62.407,0.18431
8,12,0.45936,69.243,0.18504
8,13,0.48689,89.601,0.17116
8,14,0.70968,147.357,0.24534
8,15,0.45899,65.836,0.15682
8,16,0.43671,58.012,0.15617
